package_id,resource_id,status,format,last_checked,url,url_type
59c08d21-9083-4c94-98bf-add23f96ae47,277e950c-ee5d-45fc-9eb3-ea5189bf1a81,pending,PDF,,http://www.odaa.dk/dataset/59c08d21-9083-4c94-98bf-add23f96ae47/resource/277e950c-ee5d-45fc-9eb3-ea5189bf1a81/download/niv10.pdf,
a413a75f-bb47-4d8d-82ac-7457c3bf5faa,a0044aa3-aca6-4692-b38d-0939c286862e,pending,CSV,,http://data.kk.dk/dataset/a413a75f-bb47-4d8d-82ac-7457c3bf5faa/resource/a0044aa3-aca6-4692-b38d-0939c286862e/download/ressourceforloeb-201501---201605-ydelsesmodtageregeo.csv,
58ee6151-2b87-41eb-99c1-af72fd152a9c,b0fa3121-ece3-4519-a24e-b46581c6ba30,pending,XLS,,http://data.kk.dk/storage/f/2015-04-09T13%3A32%3A28.777Z/kk-sgp-eksempel-2013-02-27.xls,
fe0e347b-9eb9-4339-a7d8-323ddd72560b,10593f4b-51e4-4840-a958-01bcd74c06e7,pending,link,,http://ejendom.nethotel.dk/emdb/ifacedet.asp?HVIEW=JYC0200V&SRC=Produktionsenhed+%28aktiv%29,
16c30a29-6069-47a1-86ce-558df5bdf84d,4545ffdf-acea-4b8b-b6a2-8af78aeecd6f,pending,XLSX,,http://test.opendata.dk/dataset/16c30a29-6069-47a1-86ce-558df5bdf84d/resource/4545ffdf-acea-4b8b-b6a2-8af78aeecd6f/download/norddjurs-energiregnskab-2013.xlsx,upload
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,5a927ba0-7efc-4ec4-8268-0e1c54b04c20,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/5a927ba0-7efc-4ec4-8268-0e1c54b04c20/download/1km6143587.skp,upload
20d66929-02eb-45db-b4cd-0a13e4014515,5c7dddf0-686e-43de-b10b-ae19fab8e64c-wfs,pending,WFS,,http://ballerup.mapcentia.com/ows/ballerup/snit_opendata?SERVICE=WFS&VERSION=2.0&REQUEST=GetCapabilities,
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,9add201e-6ab7-4658-8c00-04cd8e069c35,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/9add201e-6ab7-4658-8c00-04cd8e069c35/download/1km6147588.skp,upload
21efbcd7-37aa-4c8f-812b-ee86d0e3c522,60e6e867-a59c-4c32-bb98-f26efd361066-wms,pending,WMS,,http://ballerup.mapcentia.com/ows/ballerup/snit_opendata?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,8db07cca-6149-4d42-bee7-329737dd5829,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/8db07cca-6149-4d42-bee7-329737dd5829/download/1km6134579.skp,upload
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,5ed9fdae-3c5f-4b6c-b6a4-cb09793d7d57,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/5ed9fdae-3c5f-4b6c-b6a4-cb09793d7d57/download/1km6134594.skp,upload
44ecd686-5cb5-40f2-8e3f-b5e3607a55ef,82821efb-91f9-464a-8b85-8233b1c83cf2,pending,XML,,http://test.opendata.dk/dataset/44ecd686-5cb5-40f2-8e3f-b5e3607a55ef/resource/82821efb-91f9-464a-8b85-8233b1c83cf2/download/guidedenmarkaalborgenxml.xml,upload
9630873c-9bb7-404e-ab87-f9e28ff832b4,e71c3f81-0ca9-4dc0-bd70-b7128dc5aaca,pending,JSON,,http://data.vejle.dk/dataset/9630873c-9bb7-404e-ab87-f9e28ff832b4/resource/e71c3f81-0ca9-4dc0-bd70-b7128dc5aaca/download/20160429-mest-reserverede-titler.json,
5b08f428-f2ed-4136-af51-c6715a3bde96,239963ba-2d82-4fe1-ac87-9dc20a648341,pending,TXT,,http://www.odaa.dk/dataset/5b08f428-f2ed-4136-af51-c6715a3bde96/resource/239963ba-2d82-4fe1-ac87-9dc20a648341/download/medborgerskab.txt,
f4eef4d8-0826-4063-ba71-5d2d22b2fce9,c613620c-d7fa-4f12-914e-b56e0a7a6d99,pending,SHP,,http://test.opendata.dk/dataset/f4eef4d8-0826-4063-ba71-5d2d22b2fce9/resource/c613620c-d7fa-4f12-914e-b56e0a7a6d99/download/kommunalecykelstier-langsvej.zip,upload
af6cf551-c85b-45e8-809f-baf5a6c22abb,a8ede9f0-9e25-4b36-ba31-fa74814167b2,pending,CSV,,http://wfs-kbhkort.kk.dk/k101/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=k101:flex_p_zone&outputFormat=csv&SRSNAME=EPSG:4326&&,
67ea0857-bd24-4b3b-a18d-9052d52ff0da,46acc4e5-d96f-4390-b060-f2ffc81d66d8,pending,dwg,,http://data.kk.dk/dataset/67ea0857-bd24-4b3b-a18d-9052d52ff0da/resource/46acc4e5-d96f-4390-b060-f2ffc81d66d8/download/grundkortdwg.zip,
70f34088-83ea-45b5-b965-49f24c0d080d,2a89f337-b69c-4e38-87d9-dec9ae8b9a2d,pending,XLSX,,http://test.opendata.dk/dataset/70f34088-83ea-45b5-b965-49f24c0d080d/resource/2a89f337-b69c-4e38-87d9-dec9ae8b9a2d/download/opendata-test.xlsx,upload
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,7d052cdb-c8f8-4075-8c42-6e28f3e5a645,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/7d052cdb-c8f8-4075-8c42-6e28f3e5a645/download/6a.skp,upload
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,c9f1b422-9fde-4bda-8e02-322bb7e6cffb,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/c9f1b422-9fde-4bda-8e02-322bb7e6cffb/download/1km6140580.skp,upload
16c30a29-6069-47a1-86ce-558df5bdf84d,44b1ec72-57e4-46e9-a4b6-0ea261831489,pending,XLSX,,http://test.opendata.dk/dataset/16c30a29-6069-47a1-86ce-558df5bdf84d/resource/44b1ec72-57e4-46e9-a4b6-0ea261831489/download/randers-energiregnskab-2013.xlsx,upload
4127f04c-4c2c-4866-acc9-e9cd89307741,c8507354-d9df-4e7d-9c4c-01a950408d45,pending,CSV,,http://wfs-kbhkort.kk.dk/k101/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=k101:ggo_terraenudstyr_p&outputFormat=csv&SRSNAME=EPSG:4326,
491466ef-a8e0-4958-aaaf-7d03ed71b03b,df37e591-5714-46c5-a7d2-d6d73faeb48f,pending,GeoJSON,,http://wfs-kbhkort.kk.dk/k101/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=k101:blaa_rute_kajak&outputFormat=json&SRSNAME=EPSG:4326,
df79c48c-f064-4074-a01d-17aaa9d6dc4e,0f1c8fab-38a0-4c91-9b87-ab00e3d35cd5,pending,CSV,,http://odlaa.aakmef.opendata.arcgis.com/datasets/910ca6bef36944d3bbc708ff0b89cd4e_0.csv,
16c30a29-6069-47a1-86ce-558df5bdf84d,53ab710f-7912-4889-a596-fb8889cca54b,pending,XLSX,,http://test.opendata.dk/dataset/16c30a29-6069-47a1-86ce-558df5bdf84d/resource/53ab710f-7912-4889-a596-fb8889cca54b/download/skive-energiregnskab-2013.xlsx,upload
a735e255-4ca8-4c8a-a282-28368b95d54e,db2879e5-c7b8-4f84-ba96-7b30e7ad6bb8-wms,pending,WMS,,http://ballerup.mapcentia.com/ows/ballerup/snit_opendata?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
432e3bac-3cbf-4b05-a9dc-c83fa093c41b,2bb11b09-e16d-4372-8007-5ca4e78b8d98,pending,WFS,,http://kortservice.vejle.dk/gis/services/OPENDATA/Vejle/MapServer/WFSServer?request=GetCapabilities&service=WFS,
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,3526400a-b9ba-40d4-ba5a-a6b91248d123,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/3526400a-b9ba-40d4-ba5a-a6b91248d123/download/1km6126581.skp,upload
577b7221-b5c3-4822-9d5a-8e7658b518fb,67dd304d-e410-4c22-b969-8bf02755491a,pending,"",,http://www.kk.dk/dagsordener-og-referater,
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,1d5c109a-346a-4e13-a3e6-25f670667291,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/1d5c109a-346a-4e13-a3e6-25f670667291/download/1km6148587.skp,upload
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,999ad869-1cb1-44ac-950e-1b7c7ffcfaf8,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/999ad869-1cb1-44ac-950e-1b7c7ffcfaf8/download/1km6137594.skp,upload
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,1a3fd6a0-8e56-4485-9a92-b2ca9086c8ec,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/1a3fd6a0-8e56-4485-9a92-b2ca9086c8ec/download/2d.skp,upload
0b3e20e5-96a3-40c5-9c37-d8a3f3e742a1,aa35c176-610c-4e61-88b7-54f6b59a00f2,pending,XLSX,,http://www.odlaa.dk/dataset/0b3e20e5-96a3-40c5-9c37-d8a3f3e742a1/resource/aa35c176-610c-4e61-88b7-54f6b59a00f2/download/Befjan15.xlsx,
